Country,Not at all important,2,3,4,5,6,7,8,9,Very important,No answer,Dont know
TOTAL,5.2,2.6,3.1,1.9,6.3,5.1,5.9,8.4,7.2,50.6,2.2,1.5
Argentina,4.5,1.5,1.4,1.3,7.7,2.7,6.5,9.7,7.5,56.2,0,1
India,4.7,1.9,1.7,1,5.8,4.1,5.8,8.8,11.6,53.1,0,1.5
Japan,11.5,9.4,11.1,4.1,13.6,18.1,7.1,7.2,2.4,5.2,0,10.3
Mexico,3.6,0.5,1.7,1.8,5.6,7,10.7,10.3,8.8,49.1,0,0.9
Peru,1,0.6,0.9,0.9,3.1,3.1,5,9.7,10,64.7,0,1.1
South Africa,0.7,0.1,0.9,1.2,3.9,3.3,4.8,7.7,6.6,69.7,1.2,0
Spain,6.7,3,6.1,4,10.6,8.4,9.9,14.1,9.7,25.2,0,2.3
Sweden,26.2,16.5,11.6,6.1,12.5,5.4,4.7,5.6,2.4,7.5,0,1.6
Turkey,1.9,0.4,0.8,0.2,1.9,1.2,1,2.1,2.1,72.5,15.9,0
United States,4.1,1.9,2.9,1.6,6.3,4.7,6.4,11.5,9.8,49.7,0,1.2
