Country,Very proud,Quite proud,Not very proud,Not at all proud,I am not [nationality],No answer,Dont know
Total,66.2,22.9,7.1,1.3,0.8,0.1,1.7
Argentina,54.2,28.4,8.2,2.6,4.8,0,1.9
China,39,47.4,9.9,1.5,0,0,2.2
India,69.6,18.1,7.1,1.2,0,0,4
Japan,25.3,34.7,34.5,2.8,0,0,2.7
Mexico,71.5,19.4,5,0.8,0.1,0,3.2
Peru,79.5,14.7,4,0.8,0.2,0,0.7
South Africa,81.9,13.6,3.1,0.5,0.7,0,0.3
Spain,63.8,26.1,4.5,3,1,0,1.5
Sweden,44.1,41,9.3,1.2,2.8,0,1.6
Turkey,81.1,12.6,3.5,1.3,0,0.9,0.6
United States,76.7,19.6,1.5,0.3,1,0,0.8
DK,1.7,1.9,2.2,4,2.7,3.2,0.7
