Country,Never justifiable,2,3,4,5,6,7,8,9,Always justifiable,No answer,Dont know
TOTAL,43.8,5.8,6.6,4.6,14.1,5.4,3.4,3.9,2.1,6.1,0,4.2
Argentina,45,5.1,6.9,4.3,17.6,3.4,4.1,3.4,1.2,6.4,0,2.7
China,29.2,7.1,7.9,6.8,21.9,4.1,2.6,3,1.9,8.7,0,6.7
India,52.1,7.7,11.8,5.2,10.3,2.6,1,1.7,1.1,2.3,0,4.2
Japan,20.9,6.5,10.1,6.1,21.4,10.3,5.4,5.4,2.2,4.5,0,7.3
Mexico,57,6.1,5.2,3,11.7,3.9,2.6,1.6,1.9,3.6,0,3.5
Peru,62.4,7.8,6.4,2.6,8.2,2.4,2,2.5,0.7,2.2,0,3
South Africa,62.8,4.2,3.9,4,10.2,3.9,2.3,2,0.5,2.7,0,3.6
Spain,31.7,5.1,3.4,5.7,19.3,5.9,5.5,3.8,3.3,11.3,0,5.1
Sweden,5,1.7,4.1,3.5,3.6,19.4,7.1,17.5,10.7,24.2,0,3.3
United States,32.8,6.2,6.8,5.5,21,5.9,5.4,4.8,2.4,5.4,0,3.7
