Country,Very happy,Rather happy,Not very happy,Not at all happy,No answer,Dont know
TOTAL,29.2,50.6,15.3,4.1,0,0.8
Algeria,16.1,64.6,11.9,3.8,0,3.5
Argentina,33,48.4,15.5,2.4,0,0.7
China,11.5,66.3,19,2.8,0.4,0
India,25.3,47.6,20.9,4.5,0,1.7
Iraq,13.2,49,26.2,10.4,0.3,0.9
Japan,27.8,58.7,9.9,0.6,0,3
Jordan,12.8,70.1,12.4,4.3,0.1,0.3
Mexico,56.5,34.5,7.2,1,0,0.8
Peru,30.8,35.3,32.1,1.6,0,0.2
Singapore,28.7,66.1,4.6,0.4,0,0.2
South Africa,38.5,38.8,18.4,4.2,0,0.1
Spain,20.1,66.9,11,1.4,0,0.6
Sweden,36.6,56.8,4.8,1.5,0,0.3
Turkey,34.5,42.5,14,8.9,0,0.1
United States,39,54,5.8,0.5,0,0.7
