Country,Very proud,Quite proud,Not very proud,Not at all proud,I am not [nationality],RU/HT,No answer,Dont know
TOTAL,62,24.8,7.7,2.4,0.4,0.5,2.2
Argentina,64.6,23.5,4,3.2,3.2,0,1.5
China,24.7,53.3,13.2,4,0.1,4.7,0
India,66.8,21.1,5.2,1.5,0.1,0,5.1
Japan,21.1,33.1,34.7,3.5,0,0,7.6
Mexico,78.8,15,3.9,1.2,0.2,0,0.8
Peru,76.3,17.1,4.6,1.6,0.1,0,0.3
South Africa,74.5,19.9,3.2,1.8,0.2,0,0.4
Spain,60.2,29.7,5.1,2.2,1.2,0,1.5
Sweden,38.7,42.7,10.9,1.3,0,0,6.4
Turkey,64.8,21.5,6.4,4.3,0,1.3,1.7
United States,71.1,23.2,3.9,0.4,0.6,0,0.8
Don´t know,2.2,1.5,0,5.1,7.6,0.8,0.3
