Country,Never justifiable,2,3,4,5,6,7,8,9,Always justifiable,RU/HT,No answer,Dont know
TOTAL,40.9,4.6,4,3.5,11.8,4.8,3.6,3.6,2.1,12,8.3,0.8
Argentina,36,2.4,2.6,2.8,18.4,5.2,3.6,4.3,1.7,13.2,9.9,0
China,81.5,5,0.4,0.4,0.6,0.1,0,0.2,0,0.1,0,11.7
India,49.5,0.1,2.8,0,1.7,0,2.6,0,0.4,12.6,29.9,0.1
Japan,26.2,5,8.1,4.7,13.9,10.6,3.6,5.8,1.9,8.3,11.9,0
Mexico,48.3,2.8,3.1,2.4,10.9,3.6,4.3,3.7,1.7,10.2,9,0
Peru,55.8,7.5,5.4,5.5,14.5,2.8,1.9,1.2,0.9,2.9,1.7,0
South Africa,46.1,9,4.8,5.1,14.4,5.2,3.9,3.3,1.3,4,3.1,0
Spain,11.6,4.1,4.8,6.1,17.4,7.6,7.8,7.7,5.1,24,3.8,0
Sweden,8.4,2.7,2.7,2.3,9.7,3.2,4.2,8.1,6.4,48.7,3.7,0
United States,31,3.6,4.1,4.7,15.8,10.9,4.5,5.2,4.6,13.8,1.9,0
