Country,Not at all important,2,3,4,5,6,7,8,9,Very important,RU/HT,No answer,Dont know
TOTAL,9.6,3.1,3.2,2.1,6.8,4.7,6,8.2,6.7,46.6,0.2,1.1,1.6
Argentina,5.7,0.6,1.5,1.6,4.2,2.5,7,13.1,5.2,57.9,0,0.2,0.6
Australia,15.4,5.6,7.6,4.5,8.8,7,7.8,7.9,6,27.5,0,1.8,0
Brazil,1,0.3,0.1,0.3,0.9,1,1.5,3.5,4.3,87,0,0.1,0
China,35.1,10.2,7.6,3.4,8.1,6.2,4.2,5.2,2.9,3.9,0,0.6,12.5
Germany,30.4,8.5,8.1,4.2,8,6.8,8.6,8.6,4.7,9.5,0,1.8,1
India,8.5,0,0,0,33,0,0,0,0,55.9,0,0.1,2.4
Iraq,0.1,0.1,0,0.1,0.4,0.2,0.9,2,4.1,88.7,0,2.9,0.6
Japan,12,10.7,9.3,4.7,9.9,18.7,9.7,8.1,3.7,5.4,0,7.8,0
Jordan,0.3,0,0,0.1,0.3,0.2,0.1,0.7,1.1,96.3,0,0.9,0
Malaysia,0.8,0.2,0.8,2.1,9.5,12.6,10.2,13,10.2,40.3,0,0.2,0
Mexico,0.9,0.3,0.4,0.4,2.2,1.2,2.1,5.9,6.3,79.5,0,0.6,0.1
Netherlands,30.1,7.9,6.9,4.9,7.3,8.1,8.7,8.9,4.2,10,0.4,0.8,1.6
New Zealand,20.8,8.2,8.3,6,6.2,5.9,6.4,6.5,4.1,21.6,0,3.1,3
Peru,1.2,0.8,1.3,0.9,2.7,3,5.4,8.6,10.8,64.1,0,1.2,0
Poland,1.3,0.9,1.9,0.9,3.2,2.9,6.8,13.9,11.5,54.9,0,0.2,1.7
Romania,0.9,0.8,0.5,0.4,2.4,1.6,3.5,9.5,13.8,65.6,0,0.6,0.5
Russia,12.1,4,5.8,4.4,12.4,7.9,7.3,10.5,7.1,19.1,0.4,1.8,7.2
South Africa,0.4,0.3,0.4,0.8,2.8,2.8,5.4,10.4,10.5,65.4,0,0,0.7
Spain,17.8,6.5,7.7,5.4,12.1,9.8,12.5,9.4,4,13.2,0.2,0.2,1.2
Sweden,33,13.7,9.8,5.5,8,4.9,5.8,7.6,3.2,7.5,0,0.9,0
Thailand,0.1,0,0.2,0.5,4.4,8,22.8,28.7,16.9,18.1,0,0.3,0
Turkey,0.8,0.6,0.4,0.6,1.1,2.2,3.7,5.6,8.8,75.8,0.1,0.3,0.1
United States,5.1,1.4,2.2,2.3,5.6,5.3,4.5,6.6,7.3,55.3,3.5,0.8,0
Uruguay,10.4,2.5,3.1,2.1,6.9,6.5,9,10.9,7,40,0,1.6,0
