Country,Very proud,Quite proud,Not very proud,Not at all proud,I am not [nationality],RU/HT,No answer,Dont know
TOTAL,57.8,29.8,7.6,1.9,0.2,0.9,0.9,1
Argentina,61.1,30.7,3.5,1.3,0,2.1,0.7,0.6
Australia,68.7,26.6,3.2,0.6,0,0,0.9,0
Brazil,39,44.2,10.1,6,0,0.3,0.3,0.1
China,22.4,55,16.2,4.5,0,0,0.4,1.4
Germany,20,46.5,19.2,6.1,0,2.8,1.9,3.4
India,68.8,21.4,3.8,0.5,0,0.4,0.2,4.9
Iraq,81.7,13.8,1.6,1.2,0,0,0.9,0.8
Japan,20.9,36.5,33,3.6,0,0.1,5.9,0
Jordan,69.7,29.3,0.1,0,0,0.5,0.3,0
Malaysia,69.1,25.6,4.6,0.5,0,0.1,0.1,0
Mexico,82.9,12.4,3.8,0.9,0,0,0,0.1
Netherlands,26.1,52.8,13.2,2.9,0.3,1.9,1.3,1.4
New Zealand,66.4,23.9,2.2,0.7,0,3.7,2.4,0.7
Poland,62.1,33.6,3.2,0.9,0,0.1,0.1,0.1
Romania,37.4,44.7,13.3,2.1,0,0.1,1.3,1.1
Russia,44.2,36.7,12.5,3.1,0,0.6,0.3,2.6
South Africa,77.7,17.7,3.5,0.3,0,0.8,0,0
Spain,58.3,33.7,3.8,1.5,0.1,0.7,0.9,0.9
Sweden,40.4,43.5,9.2,1.9,0,3,2.1,0
Thailand,85.1,13.7,0.6,0.4,0,0.1,0.1,0
Turkey,76.3,14.2,2.8,0.6,0.1,5.4,0.1,0.5
United States,62.3,25.4,7,0.8,3.7,0,0.7,0
Uruguay,73.4,19.4,2.9,1.2,0,0,3.1,0
