Country,Never justifiable,2,3,4,5,6,7,8,9,Always justifiable,HT/RU,No answer,Dont know
TOTAL,43.4,6.9,5.4,4.6,11.2,5.6,4.2,4.7,2.3,6.3,0.2,1.3,3.9
Argentina,53.9,1.9,3.4,1.3,12.2,5.3,3.7,2.6,1.1,7.2,0,1.1,6.5
Australia,17.9,3.6,4.2,3.5,18,10.5,7.6,10.9,6.8,14.4,0,2.6,0
Brazil,62.3,6.9,6.3,3.3,10.2,1.4,2.1,2.2,0.7,3.4,0,1.2,0.1
China,60.8,8.3,4.5,2.6,3.9,2.6,1.3,1.9,0.6,1.8,0,0.3,11.3
Germany,14.6,7.1,7.8,6.4,17.7,9.8,7.8,9.4,3.4,11,0,1.6,3.4
India,49,0,0,11.8,0,9.2,0,6.1,0,6.9,0,0.2,16.6
Iraq,81.8,7,2.2,1.7,1.1,0.7,0.5,0.4,0.5,0.6,0,0.7,2.7
Japan,13.9,8.5,11.1,6.6,21,14.5,6.4,5.7,2.1,3.7,0,6.5,0
Jordan,92.7,1.2,1.5,1.3,1.4,0.7,0.2,0.1,0.1,0,0,0.7,0
Malaysia,43,14,8,6,11.8,8.2,4.1,2.1,1.6,1.1,0,0.2,0
Mexico,51.9,6.2,3.8,3,11.2,3.5,3.4,3.7,2.2,6.2,0,2.1,2.8
Netherlands,19.3,2.6,4.9,4.2,14.9,8.9,13.6,9.4,5.3,13,0,2.5,1.5
New Zealand,14.7,5.1,7,5.7,15.5,10.5,7.7,11.5,4.8,7.7,0,4.9,4.9
Poland,47.3,7.6,5.5,4,14.6,3.6,3.8,3.2,1.5,2.6,0,0.1,6.1
Romania,45.1,5.5,6.3,5.1,12,4.3,4.2,4.4,2.1,4.1,0,0.9,5.9
Russia,30.2,4.4,5.5,5,19,6.9,5.2,3.4,2.3,6.9,0.4,0.7,10.1
South Africa,55.6,11.2,4.8,3.7,8,3.2,2.9,3.3,1.8,2.9,0,0,2.6
Spain,16.4,4.5,3.9,4.4,20.5,10,9.9,8.2,3.9,14.2,0,1,3.1
Sweden,2.2,1.2,3.9,1.7,9.1,6.9,9.7,15.7,12.2,36.1,0,1.5,0
Thailand,36.6,24.4,17,9.5,7.9,1.7,0.9,1,0.4,0.3,0,0.2,0
Turkey,61.1,9.1,6.4,4,7.3,3.8,2.7,1.2,0.6,2.2,0.2,0.7,0.8
United States,23.8,6.9,5.6,4,24.6,6.4,6,6.5,3,6.6,3.7,2.8,0
Uruguay,33.2,4.3,3.5,4.7,19.3,6,6,5.5,4.7,10.9,0,1.9,0
