Country,Never justifiable,2,3,4,5,6,7,8,9,Always justifiable,RU/HT,No answer,Dont know
TOTAL,39.2,5.7,4.5,4.3,11.4,4.9,3.7,4.3,2.7,11.7,0.2,1.7,5.7
Argentina,28.6,1.1,2.5,1.2,13.1,4.6,4.6,5.9,2.3,21.7,0,2.3,12.1
Australia,22.3,3,3.4,4,16.7,7.3,5.2,8,5.8,21.3,0,3,0
Brazil,30.7,6.4,5.7,4.7,23.3,4.5,3.9,5.4,2.4,9.3,0,2.7,0.8
China,65.6,7.7,2.8,1.4,1.9,1,0.4,0.4,0.4,1.4,0,0.3,16.7
Germany,9.9,3.3,5.4,5.1,13.9,8.8,7.3,8.8,6.7,25.7,0,1.7,3.3
India,47.8,0,0,9.6,0,7.2,0,3.4,0,7,0,0.2,24.7
Japan,21.5,5.9,6.4,4.1,13.7,13,5.1,7.7,3.5,8.1,0,10.9,0
Jordan,99.3,0.2,0,0,0.1,0,0,0,0,0.2,0,0.3,0
Malaysia,43,11.1,8.8,8.5,12,8.2,4.1,2,1.5,0.9,0,0,0
Mexico,31.9,4.7,4.2,3.5,15.8,5.9,4.9,5.9,3.6,12.4,0,2.4,4.7
Netherlands,15.8,1.3,1.6,1.3,6.3,3.6,8,11.8,7.4,39.6,0,1.5,1.8
New Zealand,19.4,3.6,5.7,3.6,12.9,8.5,4.8,6.7,5.9,15.7,0,5.3,8
Poland,46.6,6,5.2,3.5,12.4,2.2,3.4,2.5,1.6,5,0,0.1,11.6
Romania,65.7,4.7,3.5,2.5,5.9,1.5,1.6,1.6,1.1,1.9,0,0.8,9.1
Russia,59.7,4.1,3.9,3,8.9,2.2,1.7,1.6,0.7,4,0.2,0.6,9.4
South Africa,47.1,11.7,5.9,4.9,11.4,4.8,3.9,2.6,1.9,3,0,0,2.9
Spain,9.8,1.7,2.8,3.9,16,8.3,10.6,9,4.7,26.8,0.1,1.5,4.9
Sweden,4.1,1.2,1.7,1.6,8.5,2.6,3,7.8,7.6,59.3,0,2.5,0
Thailand,22.7,23.3,17.2,12.6,17,2.5,1.5,1.1,0.7,1.2,0,0.3,0
Turkey,71.4,9,4.5,4.7,4.7,0.9,1,0.7,0.1,0.5,0.3,0.7,1.6
United States,30.2,3.8,4.4,3.2,22.4,4.3,4.6,3.5,3,13.8,3.7,3.2,0
Uruguay,17.6,2.3,2.4,3.4,26.8,9.2,6.8,6,4.1,18.4,0,3,0
