Country,Have done,Might do,Would never do,No answer,Dont know
TOTAL,27.1,27.5,39.5,0.1,1.1,4.6
Argentina,25.2,35.7,30.1,0,0.3,8.7
Australia,78.6,16.2,4.5,0,0.8,0
Brazil,55.5,27.3,16.8,0,0.1,0.3
China,7.6,45.1,44.8,0,0.8,1.8
Germany,48.4,29.1,19.5,0,1.1,2
India,22.6,20.1,35.4,0,0.1,21.7
Iraq,8.1,25.6,48.2,0,3,15.2
Japan,54.9,25.5,11.3,0,8.3,0
Jordan,3.6,6.8,88.1,0,1.6,0
Malaysia,6.4,25.9,67.7,0,0,0
Mexico,19.7,38.5,37.1,0,1.1,3.7
Netherlands,42.1,34.7,15.1,1.7,1.5,4.9
New Zealand,84.1,10.8,1.8,0,2.2,1.2
Peru,23.9,36.8,36,0,3.2,0
Poland,22.5,28.7,44.8,0,0,4
Romania,5.8,26.7,62.4,0,0.8,4.3
Russia,7.7,21,63.9,0.1,0.5,6.8
South Africa,10.8,32.4,49.3,0,0,7.5
Spain,22.2,44.3,28.5,0.1,0.2,4.7
Sweden,77.6,16.6,5,0,0,0.7
Thailand,3.2,15.6,81.1,0,0.1,0
Turkey,11.7,35,52,0.1,0.3,1
United States,68.9,23.6,5.4,1.7,0.4,0
Uruguay,29.6,26.6,43,0,0.8,0
