Country,Very happy,Rather happy,Not very happy,Not at all happy,HT/RU,No answer,Dont know
TOTAL,32.3,53.2,11.8,1.8,0,0.3,0.7
Algeria,17.6,57.9,15.2,3.8,0,5.5,0
Azerbaijan,27.2,53.4,16.8,2.6,0,0,0
Argentina,33.3,53.1,11.6,1,0,0.5,0.5
Australia,34.9,57.7,6.2,0.5,0,0.7,0
Brazil,35.2,56.8,7.2,0.8,0,0.1,0
China,15.7,68.8,13.3,1.1,0,0.5,0.7
Estonia,12.7,64,19.9,1.9,0,0.1,1.4
Germany,23.1,60.9,13.4,1.5,0,0.2,1
India,37.4,50,10.8,1.4,0,0,0.3
Iraq,10.5,57.5,26.3,4.8,0,0,0.9
Japan,32.3,54.2,9.4,1,0,0,3.2
Jordan,20.8,65,9.8,4.5,0,0,0
Malaysia,56.5,39.5,3.9,0,0,0,0
Mexico,67.5,26.8,5.3,0.4,0,0,0
Netherlands,31.9,60.5,6,0.6,0,0,0.9
New Zealand,33.7,58.7,4.3,0.7,0,1.8,0.8
Peru,35.1,40.9,22.4,0.9,0,0,0.7
Poland,22.2,70.4,5.3,0.5,0,0.5,1
Qatar,56.4,41.6,1.7,0.3,0,0,0
Romania,13.6,55.4,26.4,4,0,0.3,0.3
Russia,14.8,58.5,20.7,1.8,0.1,0.3,3.8
Rwanda,40.6,49.8,8.5,1,0,0,0
Singapore,39.1,53.9,6.5,0.5,0,0,0
South Africa,39.3,37.1,17.7,5.6,0,0,0.3
Spain,15.5,70.9,12.2,1.1,0,0,0.3
Sweden,40.5,54.1,4.9,0.4,0,0.2,0
Thailand,39.7,53.3,5.3,1.6,0,0,0
Turkey,37.5,46.3,11.9,3.8,0,0.3,0.2
United States,36.1,53.5,8.8,1.2,0,0.5,0
Uruguay,34.2,51.8,11.4,2.1,0,0.4,0.1
