Country,Good thing,Dont mind,Bad thing,Inapplicable,No answer,Dont know
TOTAL,53.2,27.8,13.4,0,0.7,4.8
Algeria,43.7,38.6,7.4,0,0,10.3
Azerbaijan,66.4,27,4.9,0,0,1.6
Argentina,55.3,31.8,7,0,1,4.9
Australia,61.8,29.1,6.3,0,2.7,0
Brazil,76.4,15.6,6.3,0,0.2,1.5
China,41.9,28.1,18.3,0,3.1,8.6
Estonia,31,46.1,14.5,0,0.4,8
Germany,58.7,23.3,16.8,0.1,0,1
India,36.1,28.9,18.3,0,0,16.7
Iraq,70.4,24.6,2.8,0,0,2.2
Japan,4.7,16.8,76.1,0,0,2.5
Jordan,84.8,12.1,2,0,0,1.2
Malaysia,55.1,39.3,5.6,0,0,0
Mexico,82.7,11,5.6,0,0.1,0.5
Netherlands,72.6,15.4,2.9,0,0.3,8.8
New Zealand,58.1,30.8,7.6,0,3.4,0
Peru,71.6,20.2,3.4,0,2,2.7
Poland,41.1,48,5.9,0,0.6,4.4
Qatar,97.9,1,1,0,0,0.1
Romania,68.7,20.3,6.3,0,0.7,4
Russia,56.9,31.1,3.5,0.7,0.6,7.2
Singapore,38.3,56.7,4.9,0.1,0,0
South Africa,52.2,30.2,10.3,0,0,7.3
Spain,68,18.2,6.8,0,2,5
Sweden,22.4,21.4,50.1,0.2,0.8,5.1
Thailand,35.7,36.1,27.1,0,1.2,0
Turkey,46.9,41.3,7.8,0,0.9,3
United States,55.2,35.7,7.1,0,2,0
Uruguay,66.2,20.7,5.6,0,1.9,5.6
