Country,Not at all important,2,3,4,5,6,7,8,9,Very important,RU/HT,No answer,Dont know
TOTAL,10.2,4.2,3.5,2.6,6.6,5.8,7.4,9.4,6.7,40.2,0.1,1.1,2.3
Algeria,0.3,0.2,0.2,0.6,1.1,1.2,1.2,4.8,10.1,78.2,0,1.8,0.2
Azerbaijan,0.1,0.2,0.1,0.5,0.8,0.4,0.9,3,3.8,90.2,0,0,0
Argentina,4.6,1,2.5,2.6,6.7,9.5,16.5,17,9.4,28.4,0,1.1,0.7
Australia,29,9.9,5.1,2.7,7.8,5.7,6.1,5.7,5.1,22,0,0.9,0
Brazil,1.1,0.3,0.3,1,2.8,1.2,1.4,2.4,1.8,87.5,0,0.1,0.1
China,27,15.7,9.8,4.4,6.3,5.1,6.4,5.3,1.6,2.1,0,3.8,12.4
Estonia,22.5,15,10.5,5.5,9.8,5.6,8.5,7.2,2.9,8.1,0,0.3,4
Germany,21.8,6.8,6.4,3.5,10.7,7.7,10.4,13.2,4.8,12.7,0.1,1.1,0.8
India,1.1,0.7,0.7,1.5,5.1,6.6,10.5,14.6,15,43.5,0,0.7,0
Iraq,0.1,0,0,0,0.9,0.5,1.3,1.9,5,90.2,0,0,0
Japan,12.5,10,9.7,3.8,16,10.4,9,7.9,2.5,6.1,0,0,12.1
Jordan,0.7,0,0,0,0.8,0.6,1.9,1.4,3.2,91.4,0,0,0
Malaysia,1,0.5,0.5,0.5,2.9,4.4,5.9,11.5,5.2,67.6,0,0,0
Mexico,2,0.6,0.4,0.2,1.6,0.8,2,6.2,6.4,79.7,0,0,0
Netherlands,30.8,10.6,6.4,4.7,5,7.3,8.6,7.9,4.3,9.5,0,0.6,4.3
New Zealand,22,10.1,6.9,4,5.6,6.4,6.1,8.2,2.7,23.9,0,1.8,2.3
Peru,1.6,0.4,0.9,0.5,3.3,3.4,6.5,9.6,13,60.5,0,0.2,0.1
Poland,3.9,1.9,2.3,2,7.1,6.3,8.7,13.7,7.8,44.5,0,0.8,0.9
Qatar,1.5,0.2,0.1,0.3,0.3,0.9,0.4,0.7,0.7,94.9,0,0,0
Romania,2.2,1,0.8,0.6,3.5,2.7,4.5,7.7,12.2,63.8,0,0.5,0.5
Russia,6.7,2.4,3.9,4.6,11.7,9.6,10,12.5,8.2,19.2,0.5,3.4,7.4
Singapore,4.8,3,4.5,2.8,11.1,9.8,13.8,20.1,8.9,20.9,0.1,0,0.1
South Africa,0.9,0.2,1.2,3.7,8.2,10.4,11,14.1,7.8,41.5,0,0,1
Spain,18.7,7.5,7.8,6.2,13.3,8.6,9.5,8.3,3.3,12.5,0,2.3,1.8
Sweden,39.2,12,7.6,4,8.9,4.5,5.1,5.4,2.6,7.8,1.3,0.6,1.1
Thailand,32.8,5.6,3.5,3.3,13.7,8.5,9.4,5.6,2.9,6.3,0,8.2,0
Turkey,0.6,0,0.4,0.5,0.9,2.1,6,10.7,9,67.9,0,1,0.9
United States,8.3,2.8,2.4,2,5.3,4.9,7.2,8.8,8,48.8,0,1.4,0
Uruguay,13.2,3.4,3.8,3.6,7.4,5.3,7.7,12.5,9.9,25.9,0,4,3.3
