Country,Never justifiable,2,3,4,5,6,7,8,9,Always justifiable,HT/RU,No answer,Dont know
TOTAL,40.6,7.1,6.4,5,12.3,5.6,4.8,4.8,2.5,5.9,0,1.8,2.9
Algeria,51.2,9.8,7.7,4.4,9.3,3.2,2.6,1.2,1.1,2.3,0,7,0
Azerbaijan,51.2,5.7,8.9,10.7,9.4,6.3,2.1,3.8,1.1,0.8,0,0,0
Argentina,41.1,6.1,4.6,4.5,13.3,7,5.3,4,1.7,4.5,0,3.5,4.4
Australia,15.7,3.2,3.9,3.3,22.2,8.5,9.3,12.1,5.6,15.3,0,1,0
Brazil,69.9,4.6,2.5,2,8.7,2.7,2.3,1.2,1,4,0,0.5,0.7
China,38.8,10.3,8,6.3,5.6,4.8,3.7,2.2,0.9,1.4,0,14,4.1
Estonia,16.2,4.8,7.3,6.8,20.3,10.7,9.7,8.5,5,4.2,0,0.5,6.1
Germany,22.5,6.5,10.1,7.4,19.6,9.1,6.3,6.5,2.2,7.6,0.3,0.2,1.6
India,76.2,6.1,3.1,2.3,2.8,0.8,0.7,0.7,0.6,1.2,0,5.5,0
Iraq,47.9,15.2,10.4,7.6,4.6,4.5,3.4,2.1,0.7,0.2,0,0,3.4
Japan,11.9,6.5,10.2,6.7,23.7,6.6,5.5,7.2,2,5.3,0,0,14.4
Jordan,66,8.8,8.8,6.2,6.6,2.1,0.9,0.2,0.1,0.2,0,0,0.3
Malaysia,65.1,10.5,7.4,2.6,6.1,2,1.8,2.3,1.4,0.8,0,0,0
Mexico,61.6,5.6,3.1,2.2,9.4,3.1,2.9,2.8,1.8,7.2,0,0.2,0.2
Netherlands,11.3,3.1,4.3,3.1,8.7,10.2,10.3,14.6,9.2,19.1,0,0.7,5.5
New Zealand,17.4,4.8,6.8,4.4,18.7,9.4,8.2,11.2,3.2,9.8,0,1.8,4.5
Peru,57.4,10.9,5.5,4.9,8.8,2.1,2.1,2.1,0.8,2.1,0,1.5,1.9
Poland,43.8,9.1,7.6,3.7,14,5.6,3.7,3.3,1.2,2.8,0,0.5,4.7
Qatar,76.1,5.1,3.2,2.4,6,2.8,1.9,1.4,0.5,0.3,0,0,0.5
Romania,54.9,5.1,3.1,3.8,11.7,2.9,3.3,2.9,2.3,4.4,0,0.7,4.9
Russia,23.6,5.2,7.6,7.5,16.4,9.7,6.3,6.7,3.5,3.6,0.6,0.6,8.7
Singapore,24.8,10.1,12,10.7,23.5,7.3,5.6,3.6,0.7,1.4,0.2,0,0
South Africa,32.5,10.3,7.1,5.8,9.2,8.9,8.1,5.8,5.5,4.3,0,0,2.4
Spain,17.7,3.5,6.1,3.9,20,7.2,9.8,8.7,3.2,15.6,0,0.9,3.3
Sweden,4.7,1.4,2.5,1.8,10.9,5.3,7.5,10.9,7.1,43.5,0.1,0.6,3.6
Thailand,61.9,14.1,9.3,5.2,4.2,2.1,0.8,0.7,0.2,0.8,0,0.8,0
Turkey,66.1,9.5,4.3,3.6,8.2,2,2,1.2,0.3,1.7,0,0.3,0.8
United States,22.4,6.2,5.9,4.9,23.3,7,6.8,7.3,3.5,9.8,0,2.9,0
Uruguay,42,3.6,4,3.7,14.3,4.8,4.5,5.4,2.8,8.6,0,1.2,5.1
