Country,Never justifiable,2,3,4,5,6,7,8,9,Always justifiable,RU/HT,No answer,Dont know
TOTAL,41.9,5.8,4.7,4,10.4,4.4,3.7,3.9,2.7,11.8,0.1,2.7,3.9
Algeria,55.2,9.2,6.3,4,5,2.1,1.5,1.2,0.8,2.2,0,12.3,0
Azerbaijan,92.8,2.5,1.5,1.2,1,0.3,0.4,0,0.2,0.1,0,0,0
Argentina,17.3,3.5,6.2,4.5,11.6,8.7,10.4,8.5,4.7,15.2,0,3.3,6.2
Australia,13.1,1.8,3.1,2.4,16.6,5.9,4,7.3,5.9,38,0,1.9,0
Brazil,34.3,3.4,2.4,3,19.6,5.6,3.6,3.5,3.2,16,0,1.3,4.2
China,49.4,11.3,7.4,2.8,3.2,2.5,1.1,1.2,0.4,1.9,0,14,4.6
Estonia,41.4,8.9,5.7,4,12.1,5.7,2.5,3,2.2,3.7,0,0.7,10.1
Germany,17.8,3.3,5.8,5.5,14.1,7.5,6.5,7.7,3.5,25.4,0.2,0.8,1.7
India,73.1,4.7,2.6,1.8,1.9,1.5,0.8,0.5,0.4,1,0,11.5,0
Iraq,69.9,8.7,5,5.3,3.5,1.4,0.9,0.9,0.3,0,0,0,4
Japan,17.6,4.8,5.6,3.8,16.9,5,5.5,7,3.9,11.8,0,0,18.1
Jordan,85.6,6.2,2.1,1.8,1.2,0.4,0.6,0.1,0.1,0.1,0,0,1.8
Malaysia,60.5,9.3,5.7,3.8,10.5,4,3,1.5,1.1,0.6,0,0,0
Mexico,39.1,3.9,3.7,3.3,18.2,4.6,5.4,5.9,2.6,11.2,0,0.5,1.6
Netherlands,11.8,1.2,1.3,0.9,4.1,4,3.5,6.2,6.3,54.3,0,0.7,5.7
New Zealand,19.6,2.9,3.3,2.5,13.8,6.2,4.3,7.3,5.2,23.8,0,1.8,9.4
Peru,29.9,9.4,8.5,9.5,15.7,6.5,4.5,3.6,1.3,4.3,0,2.6,4.2
Poland,42.5,5.9,5.1,3.3,12.2,3.6,3.1,3.5,1.6,8.9,0,0.7,9.6
Qatar,91.7,2.3,0.5,0.4,1,1.2,1.1,0.7,0.6,0.3,0,0,0.3
Romania,65.2,4.5,3.1,1.7,7.7,2,1.8,1.7,1.4,2.9,0,0.8,7.1
Russia,54.1,5.8,5.3,5.3,8.1,4.5,2.6,1.9,0.9,1.3,0.7,0.4,9
Singapore,30.3,10.7,12.6,9.9,19.1,6.6,4.4,2.7,1.3,2.1,0.2,0,0
South Africa,28.1,9.6,7.3,7.8,10.7,8.7,7.8,7.2,6,4,0,0,2.8
Spain,7.7,1.5,2,3.3,14.2,8,10.2,9.7,5.3,32.4,0,1.4,4.2
Sweden,7.5,1.2,2.1,1.7,7.1,2.6,3.2,5.3,4.6,59.3,0.4,1.1,4
Thailand,46.3,11.4,7,8.9,12.8,4.2,2.4,2.1,0.8,2.4,0,1.6,0
Turkey,78.4,8,2.3,2.3,3.6,1.2,0.9,1.3,0.4,0.8,0,0.3,0.4
United States,24,3.2,3.7,2.9,22.5,4.5,3.9,5.6,4.8,21.5,0,3.3,0
Uruguay,17.6,1.5,3.1,2.8,13.8,7.1,4.7,7,6.2,27.8,0,2.3,6.1
