Country,Most people can be trusted,Need to be very careful,RU/HT,No answer,Dont know
TOTAL,28.7,68.5,0,0.6,2.2
Algeria,17.2,78.6,0,4.2,0
Azerbaijan,14.8,82,0,0,3.2
Argentina,19.2,77.5,0,0.8,2.5
Australia,51.4,47.8,0,0.7,0
Brazil,7.1,92.2,0,0,0.7
China,60.3,35.2,0,1.8,2.6
Estonia,39,58.3,0,0.1,2.7
Germany,44.6,53.8,0.2,0.1,1.3
India,16.7,77.9,0,0,5.4
Iraq,30,63.8,0,0,6.2
Japan,35.9,56.8,0,0,7.3
Jordan,13.2,86.8,0,0,0
Malaysia,8.5,91.5,0,0,0
Mexico,12.4,87.4,0,0,0.2
Netherlands,66.1,32,0,0.1,1.8
New Zealand,55.3,42.1,0,1.7,1
Peru,8.4,90.5,0,0.4,0.7
Poland,22.2,75.6,0,0,2.2
Qatar,21.4,78.5,0,0,0.1
Romania,7.7,91.4,0,0.2,0.7
Russia,27.8,66.2,0.6,0.4,5
Singapore,37.3,62.5,0.1,0.2,0
South Africa,23.3,76.2,0,0,0.6
Spain,19,78,0,0.5,2.5
Sweden,60.1,37.2,0.3,0.8,1.6
Thailand,32.1,66.7,0,1.3,0
Turkey,11.6,82.9,0,2.1,3.4
United States,34.8,64.3,0,0.9,0
Uruguay,13.8,76.7,0,4.4,5.1
