Country,Have done,Might do,Would never do,No answer,Dont know
TOTAL,23.6,28.6,41.2,0,3.6,3
Algeria,6.2,20.2,43.4,0,30.2,0
Azerbaijan,3.7,5.6,90.7,0,0,0
Argentina,18.6,36.2,38.3,0,1.9,4.9
Australia,70.1,24.9,3.5,0,1.5,0
Brazil,44,29.9,23.2,0,0.9,2
China,4.5,37.7,53.4,0,4,0.5
Estonia,17,25.8,54.4,0,0.1,2.7
Germany,42.7,32.2,23.9,0.3,0.2,0.7
India,13.7,15.5,47.4,0,23.4,0
Iraq,12.9,18.5,64.6,0,0,4
Japan,28,35.8,19.2,0,0,17.1
Jordan,4.1,10.8,84.7,0,0,0.5
Malaysia,1.9,10.5,87.6,0,0,0
Mexico,18.3,39.1,42,0,0.1,0.5
Netherlands,35.4,52.4,11.8,0,0.4,0
New Zealand,79.7,12.6,2.7,0,3.2,1.8
Peru,13.7,41.9,36.2,0,2.1,6
Poland,29.9,32.9,34.1,0,0.3,2.8
Romania,10.4,29.2,56.3,0,0.7,3.4
Russia,11.1,24.6,62.8,0.2,0.2,1.1
South Africa,11.3,35.6,42.7,0,0,10.4
Spain,22.1,38.4,32.4,0,1.7,5.5
Sweden,68,24.9,6.6,0,0.2,0.3
Thailand,11.5,26.8,61.6,0,0.2,0
Turkey,9.8,29.2,56.8,0,2,2.2
United States,60.1,30.7,8,0,1.1,0
Uruguay,23.1,25.5,46.1,0,0.1,5.2
